"center","RMSLENormal","RMSLEreduced","RMSLEAugmented"
"126",0.514673326651418,0.549165709111874,0.500154563973783
"81",0.50534447260739,0.520022236850376,0.510144295066856
"24",0.458627599574105,0.476947923073894,0.462184129770963
"17",0.510741845005204,0.534318595880005,0.506942461383859
"174",0.483917183724053,0.512835827515964,0.476189825747915
"80",0.568783942929464,0.600007624198676,0.555715428467084
"61",0.547029570655116,0.574345076842906,0.538501411523239
"11",0.452318473593547,0.476490827766648,0.450475800378235
"88",0.575427329679739,0.610664108965905,0.558139844211877
"67",0.45001692737528,0.479216597074786,0.443490805635881
"42",0.508145077435433,0.524832572591463,0.510977817401144
"14",0.500005033635486,0.52211291579579,0.497959996361598
"186",0.528362628196166,0.557011184564946,0.518965565949624
"99",0.518214813337409,0.545195364075788,0.510951252389125
"55",0.620475940134775,0.661522369034,0.596286698227395
"161",0.539121608617789,0.55153339088632,0.544675571662439
"149",0.539512793604235,0.563016297567049,0.534558434088576
"23",0.591764788689656,0.625595196366208,0.575667925689748
"132",0.507646208463118,0.542125695276781,0.493478210039325
"30",0.544087242090193,0.570968028569031,0.536126594809131
"26",0.52844205953929,0.56559896308706,0.510682662415697
"72",0.514792597552534,0.546440931127906,0.502916645822388
"143",0.523325371159186,0.542975538484016,0.522790002505648
"68",0.540821656735092,0.554772221018043,0.545097880622618
"104",0.509250977127086,0.543035967317553,0.495662122116508
"66",0.429615124904426,0.446223235536014,0.435977558964156
"53",0.532011572233311,0.567419767987101,0.515839012054281
"43",0.493928808342015,0.519755203156458,0.4888818136483
"101",0.505037226333831,0.54349828932105,0.48674205945819
"27",0.489858098839602,0.52381894665668,0.47680845945352
"20",0.501543111490546,0.524314671730027,0.498847796139971
"109",0.542946849024707,0.582862468703917,0.522047726434439
"106",0.604458168402615,0.650294374532398,0.575870424810231
"89",0.533608417917983,0.572557340493237,0.514032936189422
"64",0.530580322161782,0.555512961584898,0.524736972589471
"58",0.510950795142226,0.530910243441303,0.510411840078647
"41",0.595858151100369,0.633145780847624,0.575949383469788
"51",0.494205074824853,0.527177334857322,0.482047311405764
"57",0.570311078180356,0.613297476002414,0.54535227455393
"86",0.562485185795276,0.596338210697216,0.54695693234025
"32",0.479019340911219,0.494123563946812,0.484450675036799
"91",0.558882346445327,0.570221872587316,0.564805661463343
"39",0.502136804446314,0.530941466472995,0.493517420811337
"108",0.50589250138964,0.530241493737848,0.501725297923988
"102",0.584146291732735,0.621983638989892,0.563988826332525
"94",0.473452669195713,0.510618954500466,0.457567033515748
"50",0.544777589316015,0.564089260384854,0.54393730013184
"110",0.477611647281557,0.480332467726927,0.494176331496243
"129",0.567953742300349,0.589571995099612,0.564114921832752
"137",0.528899460248248,0.548229100612106,0.528794436211321
"59",0.539218974343006,0.568157104907767,0.529420866964226
"13",0.427579693642668,0.454051412962265,0.424949256498847
"29",0.535096788268434,0.571827360828156,0.517483343066429
"139",0.526303126134783,0.568767942963525,0.503239663538567
"145",0.498412632880372,0.513937066600043,0.502754555450715
"162",0.573240480195816,0.606981616931086,0.5575046889684
"75",0.478960258426017,0.486037919250204,0.491872731821735
"177",0.513223826387288,0.538804902045661,0.507310337798264
"157",0.523313337773561,0.552846128819787,0.513309584491089
"65",0.50783103114532,0.537245843109978,0.498666470101388
"153",0.484382646573678,0.524011002583012,0.465814512034499
"77",0.55691138203212,0.581178692511309,0.55080816899503
"83",0.479121819682586,0.507859866520861,0.471635336057207
"92",0.52483992076166,0.558758925060724,0.510381116807614
"74",0.552648225125633,0.551415497012713,0.569927843203616
"93",0.481637006273029,0.511650389062019,0.472682223077067
"152",0.506705166225409,0.53697849360373,0.496625934483716
"146",0.424958602594773,0.443392234370733,0.429901308124987
"73",0.489676654104675,0.523668827185838,0.476428338073631
"124",0.55550809942907,0.589065167738142,0.540405377588561
"97",0.502580041788848,0.523795122087888,0.501472064452279
"10",0.457504693714997,0.482112972559507,0.455189210010793
"36",0.470734259960687,0.492092008855097,0.470788630720246
"34",0.528110737164697,0.566067118912202,0.509638204082645
"76",0.635739702918575,0.679351799229318,0.608731454652638
"113",0.536206899284443,0.561650813454404,0.529701628057685
"52",0.43452847816652,0.460687740099465,0.431764687469674
